toxic_sentence	neutral_sentence	lang
JETZT REDET DER PFAFFE ,, Im LARVE''	Jetzt sparen Sie den Schnabel, in der Larve.	de
"Mittlerweile haben unsere Medien das Niveau des ""ND"" und TV vor 1989 in d. DDR. Kein Wunder bei der Lehrmeisterin, als ehem. AgitProperin 😜"	"Inzwischen haben unsere Medien das Niveau von ""ND"" und TV vor 1989 in der"	de
In einer nicht #PoliticalCorrectness-geistesgestörten Welt würden sie dem #Invasoren-#Abschaum die Scheiße aus dem Hirn prügeln	In einer nicht-politisch korrekten Welt würden sie den Eindringling schlagen.	de
Das Pflaster müsste über sein dummes Maul reichen,😷	Der Putz sollte seinen Mund bedecken.	de
Und wieder wird mit einem #falseflag (giftgaseinsatz) ein Terrorakt gegen Syrien durch USA gestartet.. Bei dem Wahnsinnigen Trump droht WW3	Und wieder, mit einer falschen Flagge (Gas) ein Terrorakt gegen	de
#HETZERIN 💩@USER_0💩 ⛔ #GEBLOCKT ! ⛔ WEG ist diese KRANKE deutschen - feindliche Person ! ⚠	Was für ein böser deutscher Feind!	de
Was erwarten Sie von Rothschild Sklaven die ihre Seele dem Satan verkauf haben!	Was erwarten Sie von Rothschild-Sklaven, die ihre Seelen an Satan verkauft haben?	de
viel gefährlicher ist Oberdummzicke Sheitan Chebli	Die gefährlichste ist die Sheitan Chebli.	de
Was bist Du denn für ne Göre?	Was für ein Mensch bist du?	de
Jeder der mit Gabriel und Steinmeier paktiert hat bei mir verschissen. SPD - SCHMAROTZER, PÄDOPHILE UND DENUNZIANTEN !!!	Jeder, der einen Deal mit Gabriel und Steinmeier gemacht hat, hat es mit mir vermasselt.	de
1. Mit ihr euch meine ich diese ganzen intoleranten voll mit hasserfüllten versagern ..2 . ich will mich nicht nach euren wünschen und Vorstellungen integrieren , punkt aus !	Ich meine, für dich, für all diese Leute, und ich will nicht, dass du	de
Schon mal Gesehen. Asiaten sind brutal, gewissenlos, gottlos.	Ich habe es schon mal gesehen, Asiaten sind unmenschlich.	de
Juhu, der Bayer ohne Eier will wieder einmal alles nach der Wahl richten 😂😂😂 ich pinkel mir vor Lachen gleich ein 😂😂😂	Juhu, der Bayer ohne Eier will nach der Wahl wieder alles in Ordnung bringen.	de
Oder man ist so blöde und dumm wie du und nutzt keine Infos und jetzt such den Grammatikfehle,such,fein machst du das ,such,feiner Linker	Oder Sie verwenden nicht info und jetzt suchen Sie nach dem grammatischen Fehler, schauen,	de
"Stil der SPD seit Noske den ""Bluthund"" spielen durfte > diese Verräter am Volk"	"Der SPD-Stil seit Noske den ""Bluthund"" spielen durfte >"	de
Dieser Hank ist wirklich ein Honk.	Dieser Hank ist ein echter Hupen.	de
haha sucht man schon Ausreden für die völlig Dumme Berichterstattung der letzten Wochen...?	Haha, entschuldigen Sie sich schon für die total schlechte Berichterstattung der letzten Wochen?	de
"Huuuuuuuuuu, geht doch, Murksel entglitten in Washington sämtliche Gesichtszüge. Sogar ihre ""Mäulchenfalten"" verschwanden 😂😂😂"	Geh weg. Murksel hat in Washington alle ihre Eigenschaften verloren.	de
Trump ist nicht eingeknickt und schon gar nicht vor diesen dummen Politikern, Lügenpresse und Nazimedien in Deutschland!!	Trump kniet nicht nieder und ganz sicher nicht vor diesen Politikern, der lügenhaften Presse und	de
Dummes Geschwätz. Er sitzt alle Dumnscheätzer aus. Zu Recht	Er hat das Recht, alle anderen wegzusperren.	de
Wo werden diese Clowns nur gezüchtet und wie entsteht solch eine Gesinnung ...?	Wo sind diese Menschen aufgewachsen und wie haben sie diese Denkweise?	de
"@USER_0de @USER_0 Bald seid ihr alle hier ""Entsorgt""!"	@USER_0de	de
Ja @USER_0? Pst, auch für dich nochmals, die Grenzen waren seit dem Schengen Abkommen offen, also was willst du bezwecken mit Staatsgrenzen schützen Gebrabbel?	Für Sie sind die Grenzen seit der Sche	de
100% der AfD scheißt auf die Menschenrechte	Die AfD ist zu 100% unbekümmert um Menschenrechte.	de
Heiko Maas ist furchtbar. Sein gelabber sollte unter Strafe stehen. #berichtAUSberlin	Heiko Maas ist ein schrecklicher Mann, sein Verhalten sollte bestraft werden.	de
Ich kann diesen Bullshit nicht mehr hören...die dummen 🇩🇪haben sich entschieden.... Die sollen weiterhin in ihrer Scheißprovinz bleiben	Ich kann das nicht mehr hören. Sie haben entschieden, dass sie in ihrem Haus bleiben sollen.	de
@USER_1: @USER_2 @USER_0 Was für ein dummer Tweet!. Von diesen Typen kritisiert werden ist eine Ehre!. Die Rotfaschisten zittern!	@USER_1: @USER_2	de
Naja,zu Lauterbach,ich kenne viele Leute die es besser machen würden und zum Dummerchen Thomalla , Merkel ist der Skandal, Watt für IRRE!	Ich kenne viele Leute, die es besser machen würden.	de
@USER_0_Hoffenheim @USER_0 Mit besseren Kommentatoren Pinkeln gehen aber das Urinal nicht treffen	Hoffenheim@USER_0 Mit besseren Kommentatoren, die pinkeln, aber nicht auf den	de
Düsseldorf ist nicht die einzige dumme Stadt...und mit dem Messerstecher habe ich mehr Mitleid als mit dem Möchtegernbürgermeister...!!	Düsseldorf ist nicht die einzige schlechte Stadt... und ich fühle mich mehr	de
Das ist die Folge wenn Schwachmaten wie Laschet und Konsorten Politik machen! 😨 👎	Das passiert, wenn schwache Politiker wie Laschet und seine Kumpane Politik machen!	de
Diese ganze #metoo Kampagne einfach zum kotzen. Wie viele Männer werden von Frauen unterdrückt, misshandelt und missbraucht. Darüber spricht Mann nicht, aus Scham.	Diese ganze #metoo-Kampagne ist einfach ekelhaft.	de
Öffentlich-rechtlichen Nazi Medien und Merkel Vasallen setzten ihre Hetzkampagne gegen den Präsidenten der Vereinigten Staaten fort!!	Die Nazis und Merkels Vasallen setzten ihre Hetzkampagne fort.	de
Irgendwie beruhigend das es woanders noch schwachsinnigere Politik gibt als bei den deutschen...	Ich möchte mich nun mit der Frage befassen, ob die Kommission in der Lage ist, die	de
In Polen sagte man mir heute, da erhielt doch ein Arschloch einen Preis dafür, weil er sein Heimatland Polen in Brüssel verklagen wollte 💩🤢	In Polen wurde mir heute gesagt, dass jemand einen Preis für die Klage auf seine einheimische	de
Es ist unglaublich dieses Politische Pack posaunt in die Welt hinaus es können 220.000 plus die, d zusätzlich kommen in unser Land strömen	Unglaublich, dass diese politische Gruppe auf der Welt 220 sein kann.	de
#Kinderfickerpartei hat im Bundestag nichts verloren	Die Kinderficker-Partei hat im Bundestag nichts verloren.	de
Die Anzahl der dreckigen Bastarde in diese Politverblödungsshows wäre bei 100%, wenn nicht hin und wieder jemand von der AFD dazu käme.	Die Zahl der Menschen in diesen politischen Blutvergießereien wäre 100%, wenn	de
Weil er eine linke Bazille ist....😃	Weil er ein linker Käfer ist.	de
So sind sie halt unsere Politschmarotzer....Lindner allerdings eine noch größere Pfeife als Westerwelle..	Lindner ist ein noch größerer Schrecker als Westerwelle.	de
Prostituierte kann sich nicht mal ein Hartz IV leisten, Asylanten sucht euch Wichsvorlageni n Pornos!	Prostituierte können sich nicht mal einen Hartz IV leisten, Asylsuchende suchen nach	de
"😂😂😂 Phantomschmerz (fehlende Eier) und Machtgeilheit zwangen heute erneut den ""Bayern-Horsti"" ohne Vaseline  in den Ar*** der Kanzlerette 😜"	"Pferdeschmerzen (fehlende Eier) und Machtlust zwangen das ""Bayerische Pferd"""	de
So tief sind wir gesunken! Ein Merkel-Speichellecker mit dem IQ einer gewissen Fatima Roth, eine Null (außer im Tonnengewicht) als Finanzminister!	Wir sind so tief gesunken, ein Merkel-Spezialist mit dem IQ von	de
schlimmer sind jene Fanatiker die Islamisten hofieren. Jung als Nazi zu bezeichnen ist unendlich dumm!!	Die schlimmsten sind diejenigen, die das islamistische Gericht kritisieren.	de
Der Papst würde auch den Arsch des Teufels küssen wenn es ihm nützt	Der Papst würde sagen, wenn es gut für ihn wäre,	de
Alternative: Frauen bekommen von alleine ihren Hintern hoch und geben nicht immerzu Männern die Schuld, wenn ihnen irgendetwas nicht passt.	Alternative: Frauen gehen auf sich selbst ein und geben den Männern nicht immer die Schuld, wenn etwas nicht stimmt	de
So dumm wie Gutmenschen halt sind!	So gut sind die Menschen!	de
"n-tv: ""Startschwierigkeiten bei Antiterror-Übung"" > Ich: ""Wenn Dilettanten unter Flintenuschis ""Obhut""  schon Krieg spielen!"" 😂😂😂"	"n-tv: ""Probleme beim Start einer Antiterror-Übung"" > Ich"	de
Ich kann diese Hackfresse Lanz nicht mehr sehen, noch weniger hören.	Ich kann Lanz nicht mehr sehen, geschweige denn hören.	de
Die Welt von #Maas und #Merkel. Im Internet gibt’s Sperrung wenn nicht Staatsmeinung vertreten wird. In Hamburg gibts Schläge auf den Kopf	Die Welt von #Maas und #Merkel.	de
Auf die Bewährung schei.......ss ich!	Die Bewährung ist mir egal.	de
Ich finde er ist einfach ein unlustiger Spasst	Ich glaube, er ist nur ein lustiger alter Witz.	de
"Die Bevölkerung Europas wird ""weggezüchtet"" werden, wie einst die Neandertaler und hirnlose ""Prolle"" merken`s nicht einmal 😂😂😂"	"Die Bevölkerung Europas wird ""verdrängt"", wie einst die Neandertaler und die"	de
Zum Mitschreiben für die roten Ignoranten: Eine doppelte Staats-. bürgerschaft liegt vor, wenn - ja, jetzt wird es spannend. Was ist doppelt?	Für den Unwissenden gibt es eine doppelte Staatsbürgerschaft, wenn - ja, hier wird es aufregend	de
Laßt doch verdammt noch mal das NS Regime aus dem Spiel. Es war damals viel besser für das Volk als ihr euch vorstelle	Es war viel besser für die Menschen damals, als Sie sich vorstellen können.	de
"Ich fordere eine ""Forschungsgruppe islamistischer Mob"""	"Ich rufe zu einer ""Islamist Mob Research Group"" auf."	de
"Dieses ""Propaganda-TV"" ist nicht mehr mit anzusehen 🤢 Hoffentlich tritt Trump den politisch Verantwortlichen gehörig in den Arsch, Murksel!"	"Dieses ""Propaganda-TV"" ist nicht mehr verfügbar. Ich hoffe, Trump ist"	de
da ist sie ja wieder die Moderatorin der @USER_0 mit der alten schwarzen Schmodder Hose und den fettigen Haaren #WDR	Da ist sie wieder, die Gastgeberin mit der alten schwarzen schlammigen Hose und fettigen	de
Ich schäme mich in solchem Verbrecherstaat mit deutschfeindlichen Ganoven-Richtern und korrupten Politikern zu leben!	Ich schäme mich, in einem so schlechten Staat zu leben, mit anti-deutschen Richtern und korrupten	de
Netanjahu wirft Gabriel Instinktlosigkeit vor. Tatsächlich ist Gabriel. ein völliger Versager, der einen Abgeschobenenposten bekleidet.	Netanyahu wirft Gabriel einen Mangel an Instinkt vor, aber in Wirklichkeit ist Gabriel ein völliger Versager.	de
Ja die schauen auch abgemagert aus...speziell das fette Altmaier-Etwas....	Ja, sie sehen auch dünn aus... besonders die fette alte Major-Sache.	de
Die Zeit ist überreif für dass große Ausmisten in Politik, Justiz u Medien dieses ganze Rot Grün versiffte Parteibuch Pack zum Teufel jagen	Die Zeit ist reif für diese große Ausgießung in der Politik, Justiz und Medien.	de
Frau #Böttinger meine Meinung dazu ist sie sollten uns mit ihrem Pferdegebiss nicht weiter belästigen #WDR	Mrs. Böttinger, ich finde, sie sollten aufhören, uns zu belästigen.	de
Kein Land möchte diese Schmarotzer haben. In Deutschland leben sie wie im Paradies und beschweren sich noch. Haut endlich ab und belastet nicht länger unser Sozialsystem.	In Deutschland leben sie wie im Paradies und beschweren sich immer noch.	de
Das sind doch überwiegend junge Männer, die uns überrennen wollen.. Die illegalen Invasoren brauchen Arbeit - in Arbeitslagern - fair.	Das sind meist junge Männer, die uns überholen wollen, die illegalen Eindringlinge brauchen Arbeit in	de
Stattdessen sollte man das gesamte Führungspack der SPD wegsperren. SPD - Schmarotzer, Pädophile und Drnunzianten	Stattdessen sollte die gesamte SPD-Führung eingesperrt werden.	de
"An Merkel, Gauck, Flintenuschi &amp; Co: ""Wer Krieg predigt, ist des Teufels Feldprediger"" (altes Deutsches Sprichwort) 😜"	"""Wer auch immer predigt,"	de
"Du weißt, dass du #geistesgestört bist, wenn deine größte Sorge ist von #linke n Clowns ""#Rassist"" od. ""#islamophob"" genannt zu werden"	Sie wissen, dass Sie falsch liegen, wenn Ihre größte Sorge ist, rassistisch oder homophob von der	de
ist eine Körperverletzung! Sorry diese Frau ist einfach Dumm!	Tut mir leid, diese Frau ist nicht klug.	de
für derart strunzdumme Menschen die ihre Gesundheit bei Wetten Dass ruinieren sollte die Öffentlichkeit keinesfalls aufkommen #hartaberfair	Für solche Leute, die ihre Gesundheit aufs Spiel setzen, die die Öffentlichkeit ruinieren, sollte es nicht aufkommen #hart	de
Genderisten mit ihren eigenen Waffen zu schlagen ist einfach und spaßig. Sagt einfach, Ihr identifiziert Euch als schwarze lesbischer Transe	Sagen Sie einfach, Sie identifizieren sich als schwarze Lesbe.	de
sehr gefährlich wenn Regenbogenhirne intoleranten Kriminellen die Grenzen öffnen!! Die schlimmste Gewaltwelle erleben aus dieser Richtung.	sehr gefährlich, wenn Regenbogenmenschen die Grenzen öffnen!! die schlimmste Welle der Gewalt kommt von	de
Politiker von CDU CSU SPD sind eine große Gefahr für unser Land sie Posaunen in die Welt das DE 220.000 Invasoren aufnimmt + Familiennachzug	Die Politiker der CDU CSU SPD sind eine große Gefahr für unser Land sie Trompeten	de
Eben ein Beisp. mehr für die kranken Hirne von Politikern. Dieser geistige Schwachsinn auch unserer Politiker wird sich leider bitter rächen	Das ist nur ein weiteres Beispiel für die schlechten Köpfe der Politiker.	de
jedes Tier erlöst man ungefragt von seinem Leid. Mündige Menschen lässt man elendig verrecken.	Jedes Tier wird aus seiner Not befreit, und niemand fragt nach dem Menschen; und der Mensch	de
Kern, pinkle dem Herrn Kurz nicht ans Bein. Du bist. abgewählt und unerwünscht. Also, halt´s Maul.	Kern, sprich nicht schlecht über Mr. Shorts Bein.	de
Was ist dieser tarek leitner nur für ein fehlgeleiteter hurensohn? #orf #konfrontationen	Ist dieser Tarek Leitner nur ein Irrlehrer?	de
Widerlich, dieser Schmidt. Ohne Rücksicht auf die Bienen. Dieses. Stück Gewissenlosigkeit muss abgewählt und davongejagt werden.	Dieser Schmidt, ohne Rücksicht auf die Bienen, dieser Unverschämtheit	de
Währen es Türken die Flughäfen und Parteizentralen besetzen währe die Empörung groß! Ihr Heuchler	Wenn die Türken die Flughäfen und das Parteizentrum besetzen, wird es einen großen Aufschrei geben.	de
ES WIRD SICH NIEMALS WAS ÄNDERN ;AUF DIESER wELT ;WENN NICHT DIE ELITÄREN AUSGELÖSCHT WERDEN !!! Die uns nur versklaven !!!	Es wird niemals ändern, was in dieser Welt ist, es sei denn, die Eliten werden ausgeschlossen, die nur	de
Insgesamt sitzen da nur dumme Leute. angefangen beim Moderator, der ist noch dümmer. Der muss stehen	Alle ungeeigneten Leute sitzen dort, beginnend mit dem Gastgeber, der sogar	de
Merkels Vasallen melden sich zu Wort!. Herr Gersemann ist ein Vasall Merkels und seine Kommentare werden von Merkel vorgegeben!!!	Die Menschen von Merkel sprechen sich aus!	de
Und da ich kein kleines Mädchen bin, so wie Du offenbar, kann ich eine solche Meinung ab.	Und da ich kein kleines Mädchen wie du bin, kann ich das sehen.	de
Ralle du alter Mülleimer lebst ja immer noch...dachte das zeitliche hat dich gesegnet.... Bist halt eine zähe Unkrautwurzel	Ralle, du lebst noch, du denkst, die Zeit hat dich gesegnet.	de
"Mir reicht, dass ich diesen Feigling aus Rostock 1989/90 kenne. Er wurde ins ""Licht"" geschoben, dieser Gauckler 😜"	Ich bin froh, dass der Typ aus Rostock 1989/90 in die	de
Ich möchte ihn mal..für ne kurze Zeit....aber dieser Bayer ist wirklich ein Waschlappen	Ich will ihn noch eine Weile sehen, aber dieser Bayer ist ein echtes Stück	de
In Kindergärten neben den Kindern? wäre ja noch schöner. Zittern soll dieses Asylantenpack in Zelten abseits der Zivilisation	Ich würde diese Gruppe von Flüchtlingen gerne in Zelten weit weg von der Zivilisation sehen.	de
Solange bei Politikern der Dünnschiss aus der Fresse kommt, wird sich nichts ändern. Es stinkt weiter !!!	Solange die Politiker schlecht sind, wird sich nichts ändern.	de
Ich kann diese scheisse mit diesen drecksmigranten einfach nicht mehr ertragen....wenn ich nur schon kanacken sehen wird gruselig....verfluchte Scheisser ..!	Ich kann diese Einwanderer nicht mehr ertragen. Wenn ich nur den Cancan sehe.	de
Merkels Dumm -Deutschen kann man alles erzählen!!	Merkel kann alles auf Deutsch sagen!	de
Nazi Lügenpresse und Merkel Vasallen hetzen weiter gegen Trump!!	Die Nazi-Fälschungspresse und Trumps Unterstützer schüren gegen Trump	de
Verhaftungen von Vergewaltigern als Erfolg zu verkaufen ist das Aufmerksamkeitswinseln einer armseligen Behörde. #Polizei #Köln #Rapefugees	Die Verhaftung von Vergewaltigern als Erfolg zu verkaufen, ist die Aufmerksamkeit einer schlechten Behörde zu erobern	de
Warum muss ein AFD Vogel dabei sein?	Warum muss ein Flugzeug im Flugzeug dabei sein?	de
Abgefuckte Hühnerscheisse. Aber klar, dass jemand aus der Scheinheiligsten Partei Deutschlands so denkt. SPD - SCHMAROTZER, PÄDOPHILE und DENUNZIANTEN.. Wer hat uns verraten....	Aber natürlich denkt jemand aus der heuchlerischsten Partei Deutschlands das.	de
